TAXONOMIC_NAME,FAMILY,Lmax,Linf,K,Kyears,M,Lifespan,GenerationTime,AgeMat,Lmat,LmaxYields,Wmax,MaxN_prot,Repr,Fecundity,Resilience,Main food,Trophic level,QB
Gobiodon albofasciatus,Gobiidae,2.5,2.7,1.95,0.15,,1.4,0.7,0.5,2,1.5,,,,,High; decline threshold,,,times the body weight per year
Gobiodon aoyagii,Gobiidae,3.5,3.8,1.44,0.19,,1.9,0.9,0.7,2.8,2.1,,,,,High; decline threshold,,,times the body weight per year
Gobiodon brochus,Gobiidae,2.5,2.8,1.92,0.16,,1.4,0.7,0.6,2.1,1.6,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.25,times the body weight per year
Gobiodon ceramensis,Gobiidae,3.5,3.8,1.72,0.16,4.13,1.6,0.8,0.6,2.8,2.1,,,,,High; decline threshold,,,times the body weight per year
Gobiodon citrinus,Gobiidae,6.6,7.1,0.96,0.25,2.29,2.9,1.3,1,4.9,4.1,6.9 g,0.2/1.2,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.61,times the body weight per year
Gobiodon erythrospilus,Gobiidae,5.4,5.8,1.15,0.22,2.76,2.4,1.1,0.8,4.1,3.3,,,,,High; decline threshold,,,times the body weight per year
Gobiodon fuscoruber,Gobiidae,3.7,4,1.37,0.2,,2,1,0.7,2.9,2.3,,,,,High; decline threshold,,,times the body weight per year
Gobiodon heterospilos,Gobiidae,6.6,7.1,0.96,0.25,2.29,2.9,1.3,1,4.9,4.1,,,,,High; decline threshold,,,times the body weight per year
Gobiodon histrio,Gobiidae,3.5,3.8,1.72,0.16,4.13,1.6,0.8,0.6,2.8,2.1,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon micropus,Gobiidae,3.5,3.8,1.72,0.16,3.43,1.6,0.8,0.6,2.8,2.1,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon oculolineatus,Gobiidae,3.5,3.8,1.72,0.16,3.43,1.6,0.8,0.6,2.8,2.1,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon okinawae,Gobiidae,3.5,3.8,1.72,0.16,4.13,1.6,0.8,0.6,2.8,2.1,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon prolixus,Gobiidae,3.2,3.5,1.54,0.18,,1.8,0.9,0.7,2.6,2,,,,,High; decline threshold,,,times the body weight per year
Gobiodon quinquestrigatus,Gobiidae,4.5,4.9,1.13,0.23,,2.4,1.1,0.9,3.5,2.8,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon rivulatus,Gobiidae,5.0,5.4,1.24,0.2,2.97,2.2,1,0.8,3.8,3.1,,,,,High; decline threshold,,0,times the body weight per year
Gobiodon spilophthalmus,Gobiidae,3.6,3.9,1.68,0.16,4.03,1.6,0.8,0.6,2.8,2.2,,,,,High; decline threshold,,,times the body weight per year
Gobiodon unicolor,Gobiidae,2.8,3,1.76,0.17,,1.5,0.7,0.6,2.2,1.7,,,,,High; decline threshold,,0,times the body weight per year
Gobiomorphus australis,Eleotridae,18.0,19,0.5,0.37,0.92,5.6,2.1,1.6,11.8,11.4,,,,,High; decline threshold,mainly animals,3.7+/- s.e. 0.58,times the body weight per year
Gobiopsis angustifrons,Gobiidae,4.5,4.9,1.12,0.23,,2.4,1.1,0.9,3.5,2.8,,,,,High; decline threshold,,,times the body weight per year
Gobiopsis aporia,Gobiidae,4.1,4.4,1.24,0.22,,2.2,1.1,0.8,3.2,2.5,,,,,High; decline threshold,,0,times the body weight per year
Gobiopsis arenaria,Gobiidae,1.6,1.8,2.95,0.11,,0.9,0.5,0.4,1.4,1,,,,,High; decline threshold,,0,times the body weight per year
Gobiopsis bravoi,Gobiidae,4.1,4.4,1.49,0.18,3.58,1.8,0.9,0.7,3.2,2.5,,,,,High; decline threshold,,0,times the body weight per year
Gobiopsis macrostoma,Gobiidae,10.0,10.7,0.54,0.4,,5.2,2.1,1.6,7,6.3,,,,,High; decline threshold,mainly animals,3.8+/- s.e. 0.6,times the body weight per year
Gobiopsis malekulae,Gobiidae,3.0,3.3,1.98,0.14,4.74,1.4,0.7,0.5,2.4,1.8,,,,,High; decline threshold,,,times the body weight per year
Gobiopterus semivestitus,Gobiidae,2.7,2.9,2.19,0.13,5.28,1.2,0.7,0.5,2.2,1.6,,,,,High; decline threshold,,,times the body weight per year
Gomphosus varius,Labridae,30.0,31.5,0.24,0.69,,11.8,3.3,3,18.5,19.4,23.0 g,0.6/3.8,,,Medium; decline threshold,mainly animals,3.7,times the body weight per year
Gonichthys barnesi,Myctophidae,5.0,5.4,0.62,0.42,,4.4,2,1.5,3.8,3.1,,,,,High; decline threshold,,,times the body weight per year
Gonorynchus gonorynchus,Gonorynchidae,60.0,62.2,,,0.6,0,0,0,34.1,39.4,,,,,Please en,mainly animals,3.3+/- s.e. 0.49,times the body weight per year
Gonorynchus greyi,Gonorynchidae,50.0,52,,,0.47,0,0,0,29,32.7,,,,,Please en,,,times the body weight per year
Gonostoma atlanticum,Gonostomatidae,6.6,7.1,0.8,0.3,,3.4,1.5,1.2,4.9,4.1,,,,,High; decline threshold,mainly animals,3+/- s.e. 0.13,times the body weight per year
Gorgasia galzini,Congridae,53.0,55.1,0.27,0.52,0.54,10.6,3.2,2.5,30.6,34.7,,,,,Medium; decline threshold,mainly animals,0,times the body weight per year
Gorgasia preclara,Congridae,40.0,41.7,0.34,0.44,0.69,8.4,2.4,2,23.8,26,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.45,times the body weight per year
Gracila albomarginata,Serranidae,40.0,41.7,0.26,0.59,0.56,10.9,3.2,2.7,23.8,26,,,,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.73,times the body weight per year
Gracilimugil argenteus,Mugilidae,45.0,25.7,0.52,0.33,0.91,5.4,1.6,1.4,15.4,16.2,,,nonguarders: open water/substratum egg scatterers,,High; decline threshold,plants/detritus+animals,2.9+/- s.e. 0.33,times the body weight per year
Grallenia lauensis,Gobiidae,1.6,1.7,3.03,0.11,,0.9,0.5,0.4,1.3,0.9,,,,,High; decline threshold,,,times the body weight per year
Grammatobothus pennatus,Bothidae,18.0,19,0.34,0.55,0.83,8.3,3.2,2.3,11.8,11.4,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.37,times the body weight per year
Grammatobothus polyophthalmus,Bothidae,21.0,22.1,0.29,0.62,0.71,9.7,3.6,2.6,13.5,13.4,115.4 g,3.0/18.8,,,Medium; decline threshold,mainly animals,3.6,times the body weight per year
Grammatorcynus bicarinatus,Scombridae,112.0 FL,115,0.24,0.48,,12,3.9,2.5,59.2,74.7,,,,,Medium; decline threshold,mainly animals,4.5+/- s.e. 0.8,times the body weight per year
Grammatorcynus bilineatus,Scombridae,100.0 FL,102.8,0.27,0.44,,10.7,3.4,2.3,53.5,66.5,,,,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.69,times the body weight per year
Grammicolepis brachiusculus,Grammicolepididae,64.0,66.3,,,0.26,0,0,0,36.1,42.1,"2,694.0 g",76.4/477.5,,,Please en,,,times the body weight per year
Grammistes sexlineatus,Serranidae,30.0,31.5,0.34,0.48,0.73,8.3,2.3,2.1,18.5,19.4,,,,,High; decline threshold,mainly animals,4+/- s.e. 0.66,times the body weight per year
Grammistops ocellatus,Serranidae,13.2,14,0.73,0.27,1.58,3.8,1.5,1.1,8.9,8.3,,,,,High; decline threshold,,,times the body weight per year
Gunnellichthys curiosus,Microdesmidae,12.0,12.8,,,,0,0,0,8.2,7.6,,,,,Please en,mainly animals,3.3+/- s.e. 0.41,times the body weight per year
Gunnellichthys monostigma,Microdesmidae,15.0,15.9,,,,0,0,0,10,9.5,,,,,Please en,mainly animals,3.3+/- s.e. 0.41,times the body weight per year
Gunnellichthys pleurotaenia,Microdesmidae,12.0,12.8,,,,0,0,0,8.2,7.6,,,,,Please en,,,times the body weight per year
Gunnellichthys viridescens,Microdesmidae,12.0,12.8,,,,0,0,0,8.2,7.6,,,,,Please en,,0,times the body weight per year
Guttigadus globiceps,Moridae,14.0,14.9,0.4,0.5,0.67,7,2.7,2,9.4,8.9,,,,,High; decline threshold,,,times the body weight per year
Guttigadus kongi,Moridae,15.3,16.2,0.3,0.66,,9.3,3.6,2.7,10.2,9.7,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnapistes marmoratus,Tetrarogidae,22.5,21.4,0.12,1.62,0.29,24,8.9,6.3,13.1,12.9,,,,,Low; decline threshold,mainly animals,3.3+/- s.e. 0.28,times the body weight per year
Gymnapogon annona,Apogonidae,5.0,5.4,2.36,0.1,4.79,1.2,0.5,0.4,3.8,3.1,,,,,High; decline threshold,,,times the body weight per year
Gymnapogon philippinus,Apogonidae,5.0,5.4,1.96,0.13,,1.4,0.6,0.5,3.8,3.1,,,,,High; decline threshold,mainly animals,4+/- s.e. 0.5,times the body weight per year
Gymnapogon urospilotus,Apogonidae,2.7,2.9,3.47,0.08,,0.8,0.4,0.3,2.2,1.6,,,,,High; decline threshold,,,times the body weight per year
Gymnocranius audleyi,Lethrinidae,40.0,30.9,0.56,0.29,1.09,5.1,1.4,1.3,18.2,19,756.0 g,20.6/128.8,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Gymnocranius elongatus,Lethrinidae,35.0,36.6,0.36,0.43,0.74,7.9,2.3,2,21.2,22.7,,,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Gymnocranius euanus,Lethrinidae,45.0,50.3,0.22,0.66,0.46,13,3.8,3.1,28.2,31.6,"2,022.0 g",56.9/355.6,,,Medium; decline threshold,mainly animals,3.8,times the body weight per year
Gymnocranius grandoculis,Lethrinidae,80.0,56.7,0.23,0.61,0.46,12.4,3.7,2.9,31.4,35.7,"3,623.0 g",103.7/648.1,,,Medium; decline threshold,mainly animals,3.8,times the body weight per year
Gymnocranius griseus,Lethrinidae,35.0,34.8,0.22,0.73,0.54,12.9,3.6,3.2,20.2,21.5,,,,,Medium; decline threshold,mainly animals,3.2+/- s.e. 0.44,times the body weight per year
Gymnocranius microdon,Lethrinidae,45.0,46.9,0.28,0.53,0.58,10.2,3,2.4,26.5,29.3,,,,,Medium; decline threshold,mainly animals,3.4+/- s.e. 0.41,times the body weight per year
Gymnocranius satoi,Lethrinidae,42.2,44,0.25,0.6,,11.4,3.3,2.8,25,27.4,,,,,Medium; decline threshold,,,times the body weight per year
Gymnocranius superciliosus,Lethrinidae,43.0,44.8,0.24,0.63,,11.9,3.5,2.9,25.4,28,,,,,Medium; decline threshold,,,times the body weight per year
Gymnomuraena zebra,Muraenidae,150.0,153.3,0.09,1.24,0.19,32.1,10.7,6.5,76.7,100.8,,,,,Low; decline threshold,mainly animals,3.4+/- s.e. 0.43,times the body weight per year
Gymnosarda unicolor,Scombridae,248.0 FL,251.4,0.12,0.8,,24.2,8.5,4.6,119.5,168.7,239.0 kg,"7,756.4/48,477.5",,,Low; decline threshold,mainly animals,4.5+/- s.e. 0.75,times the body weight per year
Gymnoscopelus hintonoides,Myctophidae,14.0,14.9,0.24,0.85,,11.6,4.5,3.3,9.4,8.9,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnoscopelus microlampas,Myctophidae,11.7,12.5,0.28,0.76,,10,4,3,8.1,7.4,,,,,Medium; decline threshold,,3,times the body weight per year
Gymnoscopelus piabilis,Myctophidae,14.6,15.5,0.23,0.88,,12.2,4.7,3.5,9.8,9.3,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax annasona,Muraenidae,55.3,57.4,0.23,0.61,0.34,12.4,3.7,2.9,31.7,36.2,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax atolli,Muraenidae,20.6,21.7,0.57,0.31,0.98,5,1.8,1.3,13.2,13.1,,,,,High; decline threshold,,,times the body weight per year
Gymnothorax australicola,Muraenidae,37.5,39.2,0.33,0.47,0.57,8.6,2.5,2.1,22.5,24.3,,,,,High; decline threshold,,,times the body weight per year
Gymnothorax buroensis,Muraenidae,38.7,40.4,0.32,0.48,0.66,8.9,2.6,2.2,23.1,25.1,,,,,High; decline threshold,mainly animals,3.8+/- s.e. 0.65,times the body weight per year
Gymnothorax castlei,Muraenidae,22.9,24.1,0.47,0.37,1,6,1.6,1.6,14.6,14.7,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax cephalospilus,Muraenidae,20.2,21.3,0.58,0.31,1,4.9,1.8,1.3,13,12.9,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax chilospilus,Muraenidae,50.5,52.5,0.25,0.57,0.52,11.4,3.4,2.7,29.3,33,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax cribroris,Muraenidae,75.0,77.5,0.17,0.77,0.25,16.9,5.2,3.7,41.5,49.5,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax enigmaticus,Muraenidae,58.0,60.2,0.22,0.63,0.45,13,3.9,3,33.1,38,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax eurostus,Muraenidae,60.0,62.2,0.21,0.66,0.36,13.6,4.1,3.1,34.1,39.4,,,,,Medium; decline threshold,mainly animals,4.1+/- s.e. 0.67,times the body weight per year
Gymnothorax favagineus,Muraenidae,300.0,303.2,0.05,1.88,0.1,58.1,20.7,10.7,141.4,205.1,,,,,Very low; decline threshold,mainly animals,4.2+/- s.e. 0.64,times the body weight per year
Gymnothorax fimbriatus,Muraenidae,80.0,82.6,0.16,0.81,0.33,17.9,5.6,3.9,44,52.9,942.0 g,25.9/161.9,,,Medium; decline threshold,mainly animals,4+/- s.e. 0.67,times the body weight per year
Gymnothorax flavimarginatus,Muraenidae,240.0,243.4,0.06,1.66,0.12,48.3,16.8,9.1,116.1,163.1,,,,,Low; decline threshold,mainly animals,4.2+/- s.e. 0.72,times the body weight per year
Gymnothorax fuscomaculatus,Muraenidae,20.0,21.1,0.58,0.31,1.21,4.9,1.8,1.3,12.9,12.8,,,,,High; decline threshold,,,times the body weight per year
Gymnothorax gracilicauda,Muraenidae,32.0,33.5,0.38,0.42,0.79,7.5,2.1,1.9,19.6,20.7,,,,,High; decline threshold,,,times the body weight per year
Gymnothorax herrei,Muraenidae,30.0,31.5,0.4,0.41,0.83,7.1,2,1.8,18.5,19.4,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax intesi,Muraenidae,100.0,102.8,0.13,0.94,0.22,22.1,7.1,4.7,53.5,66.5,,,,,Low; decline threshold,,0,times the body weight per year
Gymnothorax isingteena,Muraenidae,180.0,183.4,0.08,1.33,0.16,36.2,12.2,7.1,90,121.5,,,,,Low; decline threshold,,0,times the body weight per year
Gymnothorax javanicus,Muraenidae,300.0,303.2,0.05,1.88,0.1,58.1,20.7,10.7,141.4,205.1,97.6 kg,"3,082.7/19,266.9",,,Very low; decline threshold,mainly animals,3.9+/- s.e. 0.64,times the body weight per year
Gymnothorax kidako,Muraenidae,91.5,94.2,0.12,1.05,,24,7.6,5.2,49.5,60.7,"4,848.0 g",140.0/875.0,,,Low; decline threshold,mainly animals,4.5+/- s.e. 0.61,times the body weight per year
Gymnothorax kontodontos,Muraenidae,18.0,19,0.64,0.29,1.33,4.4,1.7,1.2,11.8,11.4,,,,,High; decline threshold,,,times the body weight per year
Gymnothorax margaritophorus,Muraenidae,70.0,72.4,0.18,0.74,0.37,15.9,4.9,3.6,39.1,46.1,,,,,Medium; decline threshold,mainly animals,3.6+/- s.e. 0.65,times the body weight per year
Gymnothorax mccoskeri,Muraenidae,31.6,33.1,0.34,0.47,0.73,8.4,2.3,2.1,19.4,20.4,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax melatremus,Muraenidae,30.0,31.5,0.4,0.41,0.83,7.1,2,1.8,18.5,19.4,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax meleagris,Muraenidae,120.0,123.1,0.11,1.07,0.23,26.2,8.5,5.4,62.9,80.2,,,,,Low; decline threshold,mainly animals,4+/- s.e. 0.7,times the body weight per year
Gymnothorax microstictus,Muraenidae,30.0,31.5,0.4,0.41,0.83,7.1,2,1.8,18.5,19.4,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax minor,Muraenidae,54.5,56.6,0.23,0.61,0.4,12.4,3.7,2.9,31.3,35.7,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnothorax moluccensis,Muraenidae,45.0,46.9,0.27,0.55,0.56,10.6,3.1,2.5,26.5,29.3,,,,,Medium; decline threshold,mainly animals,4.2+/- s.e. 0.73,times the body weight per year
Gymnothorax monochrous,Muraenidae,80.0,82.6,0.16,0.81,0.33,17.9,5.6,3.9,44,52.9,,,,,Medium; decline threshold,,,times the body weight per year
Gymnothorax nubilus,Muraenidae,53.5,55.6,0.23,0.62,0.34,12.4,3.7,2.9,30.8,35,272.0 g,7.2/45.0,,,Medium; decline threshold,,,times the body weight per year
Gymnothorax nudivomer,Muraenidae,180.0,183.4,0.08,1.33,0.16,36.2,12.2,7.1,90,121.5,,,,,Low; decline threshold,mainly animals,4.5+/- s.e. 0.8,times the body weight per year
Gymnothorax obesus,Muraenidae,180.0,183.4,0.08,1.33,0.11,36.2,12.2,7.1,90,121.5,,,,,Low; decline threshold,,,times the body weight per year
Gymnothorax phasmatodes,Muraenidae,46.0,47.9,0.27,0.54,0.56,10.6,3.1,2.5,27,30,,,,,Medium; decline threshold,,,times the body weight per year
Gymnothorax pictus,Muraenidae,140.0,143.2,0.1,1.13,0.2,28.9,9.5,5.9,72.1,93.9,,,,,Low; decline threshold,mainly animals,4.2+/- s.e. 0.72,times the body weight per year
Gymnothorax pindae,Muraenidae,39.0,40.7,0.31,0.49,0.64,9.2,2.6,2.3,23.3,25.3,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax polyuranodon,Muraenidae,150.0,153.3,0.09,1.24,0.19,32.1,10.7,6.5,76.7,100.8,,,,,Low; decline threshold,,0,times the body weight per year
Gymnothorax porphyreus,Muraenidae,103.2,106.1,0.13,0.93,0.22,22.1,7.1,4.7,55.1,68.7,"2,152.0 g",60.7/379.4,,,Low; decline threshold,,0,times the body weight per year
Gymnothorax prasinus,Muraenidae,91.5,94.2,0.14,0.89,0.21,20.5,6.5,4.4,49.5,60.7,,,,,Low; decline threshold,mainly animals,3.6,times the body weight per year
Gymnothorax prionodon,Muraenidae,150.0,153.3,0.09,1.24,0.13,32.1,10.7,6.5,76.7,100.8,,,,,Low; decline threshold,,0,times the body weight per year
Gymnothorax pseudothyrsoideus,Muraenidae,80.0,82.6,0.16,0.81,0.33,17.9,5.6,3.9,44,52.9,,,,,Medium; decline threshold,mainly animals,3.7+/- s.e. 0.52,times the body weight per year
Gymnothorax reticularis,Muraenidae,60.0,62.2,0.21,0.66,0.43,13.6,4.1,3.1,34.1,39.4,,,,,Medium; decline threshold,mainly animals,4+/- s.e. 0.65,times the body weight per year
Gymnothorax richardsonii,Muraenidae,34.0,35.6,0.36,0.44,0.74,7.9,2.2,2,20.7,22,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax robinsi,Muraenidae,18.2,19.2,0.64,0.29,1.33,4.4,1.7,1.2,11.9,11.6,,,,,High; decline threshold,,0,times the body weight per year
Gymnothorax rueppelliae,Muraenidae,80.0,82.6,0.16,0.81,0.33,17.9,5.6,3.9,44,52.9,,,,,Medium; decline threshold,mainly animals,4+/- s.e. 0.69,times the body weight per year
Gymnothorax thyrsoideus,Muraenidae,66.0,68.3,0.19,0.71,0.39,15.1,4.6,3.4,37.1,43.4,,,,,Medium; decline threshold,mainly animals,4+/- s.e. 0.65,times the body weight per year
Gymnothorax undulatus,Muraenidae,150.0,153.3,0.09,1.24,0.19,32.1,10.7,6.5,76.7,100.8,,,,,Low; decline threshold,mainly animals,3.6+/- s.e. 0.31,times the body weight per year
Gymnothorax zonipectis,Muraenidae,50.0,52,0.25,0.58,0.52,11.4,3.4,2.7,29,32.7,,,,,Medium; decline threshold,,0,times the body weight per year
Gymnura australis,Gymnuridae,73.0 WD,75.5,,,,0,0,0,40.6,48.2,,,,,Please en,,0,times the body weight per year
Gyrinomimus myersi,Cetomimidae,6.6,7.1,1.74,0.13,,1.6,0.7,0.5,4.9,4.1,,,,,High; decline threshold,,,times the body weight per year
Halaelurus boesemani,Scyliorhinidae,48.0,49.9,0.25,0.58,0.35,11.4,3.4,2.7,28,31.3,,,,,Medium; decline threshold,,0,times the body weight per year
Halaelurus sellus,Scyliorhinidae,35.3,36.9,0.28,0.56,,10.2,2.9,2.5,21.3,22.8,,,,,Medium; decline threshold,,,times the body weight per year
Halaphritis platycephala,Bovichtidae,16.8,17.8,,,,0,0,0,11.1,10.7,,,,,Please en,mainly animals,3.6+/- s.e. 0.55,times the body weight per year
Halargyreus johnsonii,Moridae,56.0,58.1,0.11,1.31,0.18,26,7.8,6,32.1,36.7,,,,,Low; decline threshold,mainly animals,3.4+/- s.e. 0.47,times the body weight per year
Haletta semifasciata,Odacidae,29.0,30.4,0.5,0.33,,5.7,1.6,1.4,17.9,18.7,,,,,High; decline threshold,mainly animals,3.2+/- s.e. 0.49,times the body weight per year
Halicampus boothae,Syngnathidae,17.5,18.5,0.85,0.21,,3.3,1.3,0.9,11.5,11.1,,,,,High; decline threshold,,,times the body weight per year
Halicampus brocki,Syngnathidae,12.0,12.8,1.45,0.14,2.7,1.9,0.8,0.6,8.2,7.6,,,,,High; decline threshold,,,times the body weight per year
Halicampus dunckeri,Syngnathidae,15.0,15.9,1.18,0.16,2.19,2.4,0.9,0.7,10,9.5,,,,,High; decline threshold,,,times the body weight per year
Halicampus grayi,Syngnathidae,20.0,21.1,0.75,0.24,,3.8,1.4,1,12.9,12.8,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.44,times the body weight per year
Halicampus macrorhynchus,Syngnathidae,18.0,19,0.99,0.18,1.84,2.9,1.1,0.8,11.8,11.4,,,,,High; decline threshold,,,times the body weight per year
Halicampus mataafae,Syngnathidae,14.0,14.9,1.25,0.15,2.33,2.3,0.9,0.6,9.4,8.9,,,,,High; decline threshold,,,times the body weight per year
Halicampus nitidus,Syngnathidae,7.3,7.8,1.91,0.12,,1.5,0.6,0.5,5.3,4.5,,,,,High; decline threshold,,,times the body weight per year
Halicampus spinirostris,Syngnathidae,12.0,12.8,1.45,0.14,2.7,1.9,0.8,0.6,8.2,7.6,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres argus,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,32.9 g,0.8/5.0,,,High; decline threshold,,0,times the body weight per year
Halichoeres biocellatus,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres brownfieldi,Labridae,15.0,15.9,0.54,0.36,1.02,5.2,2,1.5,10,9.5,,,,,High; decline threshold,,,times the body weight per year
Halichoeres chloropterus,Labridae,19.0,20.1,0.36,0.51,,7.8,3,2.2,12.4,12.1,88.0 g,2.3/14.4,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.4,times the body weight per year
Halichoeres chrysus,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres claudia,Labridae,8.8,9.4,0.73,0.3,,3.8,1.6,1.2,6.2,5.5,,,,,High; decline threshold,,,times the body weight per year
Halichoeres hartzfeldii,Labridae,18.0,19,0.45,0.41,1.02,6.3,2.4,1.7,11.8,11.4,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres hortulanus,Labridae,27.0,28.6,0.72,0.23,1.41,3.9,1.1,1,17,17.5,340.0 g,9.1/56.9,,,High; decline threshold,mainly animals,3.4+/- s.e. 0.42,times the body weight per year
Halichoeres leucurus,Labridae,13.0,13.8,0.61,0.33,1.39,4.6,1.8,1.3,8.8,8.2,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.37,times the body weight per year
Halichoeres margaritaceus,Labridae,12.5,13.3,0.53,0.38,,5.3,2.1,1.5,8.5,7.9,,,,,High; decline threshold,mainly animals,3.7+/- s.e. 0.5,times the body weight per year
Halichoeres marginatus,Labridae,18.0,20,0.72,0.25,1.5,3.9,1.5,1.1,12.3,12.1,144.8 g,3.8/23.8,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,3.2+/- s.e. 0.17,times the body weight per year
Halichoeres melanochir,Labridae,18.0,19,0.45,0.41,1.02,6.3,2.4,1.7,11.8,11.4,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.22,times the body weight per year
Halichoeres melanurus,Labridae,12.0,12.8,0.66,0.31,1.5,4.2,1.7,1.2,8.2,7.6,66.5 g,1.7/10.6,,,High; decline threshold,mainly animals,2.9+/- s.e. 0.17,times the body weight per year
Halichoeres melasmapomus,Labridae,24.0,25.3,0.35,0.5,0.79,8.1,2.2,2.1,15.2,15.4,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.37,times the body weight per year
Halichoeres miniatus,Labridae,14.0,14.9,0.57,0.35,1.3,4.9,1.9,1.4,9.4,8.9,,,,,High; decline threshold,,,times the body weight per year
Halichoeres nebulosus,Labridae,12.0,12.8,0.66,0.31,1.25,4.2,1.7,1.2,8.2,7.6,,,,,High; decline threshold,mainly animals,3.3+/- s.e. 0.24,times the body weight per year
Halichoeres nigrescens,Labridae,14.0,14.9,0.57,0.35,1.3,4.9,1.9,1.4,9.4,8.9,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres ornatissimus,Labridae,18.0,19,0.45,0.41,1.02,6.3,2.4,1.7,11.8,11.4,,,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.5,times the body weight per year
Halichoeres prosopeion,Labridae,13.0,13.8,0.51,0.4,,5.5,2.2,1.6,8.8,8.2,,,,,High; decline threshold,,0,times the body weight per year
Halichoeres scapularis,Labridae,20.0,22.5,0.62,0.28,1.31,4.6,1.7,1.2,13.7,13.6,193.4 g,5.1/31.9,nonguarders: open water/substratum egg scatterers,,High; decline threshold,mainly animals,3.5+/- s.e. 0.5,times the body weight per year
Halichoeres trimaculatus,Labridae,27.0,28.4,0.31,0.54,0.7,9.1,2.5,2.4,16.9,17.4,270.0 g,7.1/44.4,,,High; decline threshold,mainly animals,3.5+/- s.e. 0.51,times the body weight per year
Halichoeres zeylonicus,Labridae,20.0,21.1,0.41,0.44,0.93,6.9,2.6,1.9,12.9,12.8,,,,,High; decline threshold,mainly animals,0,times the body weight per year
Halicmetus niger,Ogcocephalidae,8.7,9.3,0.39,0.58,,7.1,3,2.2,6.2,5.4,,,,,High; decline threshold,,,times the body weight per year
Halicmetus reticulatus,Ogcocephalidae,9.0,9.6,0.38,0.59,,7.3,3.1,2.3,6.4,5.6,,,,,High; decline threshold,,,times the body weight per year
Halieutaea brevicauda,Ogcocephalidae,21.0,22.1,0.21,0.87,0.47,13.4,5,3.6,13.5,13.4,,,,,Medium; decline threshold,,,times the body weight per year
Halieutaea coccinea,Ogcocephalidae,16.0,16.9,0.27,0.72,0.49,10.4,4,2.9,10.6,10.1,,,,,Medium; decline threshold,,0,times the body weight per year
Halieutaea fumosa,Ogcocephalidae,14.0,14.9,0.25,0.81,,11.2,4.3,3.2,9.4,8.9,,,,,Medium; decline threshold,,,times the body weight per year
Halieutaea indica,Ogcocephalidae,15.0,15.9,0.28,0.71,0.75,10,3.9,2.8,10,9.5,,,,,Medium; decline threshold,,,times the body weight per year
Halieutaea stellata,Ogcocephalidae,30.0,31.5,0.15,1.12,0.4,18.9,5.3,4.8,18.5,19.4,,,,,Low; decline threshold,mainly animals,0,times the body weight per year
Halieutopsis simula,Ogcocephalidae,6.5,7,0.51,0.48,,5.4,2.4,1.8,4.8,4,,,,,High; decline threshold,,,times the body weight per year
